1,Tuna Mata Besar,ikan_1.webp,E
2,Madidihang,ikan_2.webp,K
3,Tuna Sirip Biru Selatan,ikan_3.webp,E
4,Ikan Pedang,ikan_4.png,K
5,Cakalang,ikan_5.webp,K
6,Albakora,ikan_6.webp,K
7,Tongkol Sirara-Gigi Anjing,ikan_7.webp,K
8,Setuhuk Loreng,ikan_8.webp,K
9,Tongkol Banyar,ikan_9.webp,K
10,Tongkol Banyar,ikan_10.webp,K
11,Kenyar,ikan_11.webp,K
12,Setuhuk Hitam,ikan_12.png,K
13,Tongkol Pisang-Cerutu,ikan_13.webp,K
14,Tongkol Pisang-Balaki,ikan_14.webp,K
15,Slengseng,ikan_15.webp,K
16,Ikan Layaran,ikan_16.webp,K
17,Tenggiri Papan,ikan_17.webp,K
18,Ikan Tumbuk,ikan_18.webp,K
19,Tenggiri,ikan_19.webp,K
21,Tenggiri Batang,ikan_21.webp,K
22,Nyunglas,ikan_22.webp,K
23,Tongkol Abu-Abu,ikan_23.webp,K
24,Cucut Mako,ikan_24.webp,E
25,Cucut Gergaji,ikan_25.webp,E
27,Hiu Lonjor,ikan_27.png,E
28,Cucut Lanjam,ikan_28.png,E
29,Hiu Sonteng,ikan_29.webp,E
30,Hiu Martil,ikan_30.webp,E
31,Hiu Bongol,ikan_31.webp,E
32,Hiu Kucing,ikan_32.webp,E
33,Hiu Anjing,ikan_33.webp,E
34,Hiu Kacang,ikan_34.png,E
35,Hiu Putik,ikan_35.png,E
36,Hiu Lepang,ikan_36.webp,E
37,Hiu Tikus,ikan_37.webp,E
38,Hiu Tokek,ikan_38.png,E
39,Hiu Macan,ikan_39.webp,E
40,Hiu Jenggot,ikan_40.webp,E
41,Hiu Monyet,ikan_41.webp,E
42,Hiu Tutul,ikan_42.webp,E
43,Hiu Bongol,ikan_43.webp,E
44,Hiu Meong,ikan_44.webp,E
45,Hiu Lalaek,ikan_45.webp,E
46,Hiu Merak Bulu,ikan_46.png,E
47,Mungsing,ikan_47.webp,K
48,Hiu Plen,ikan_48.png,E
49,Hiu Pilus,ikan_49.png,E
50,Hiu Teteri,ikan_50.png,E
51,Hiu Lanyam,ikan_51.webp,E
52,Hiu Coklat,ikan_52.png,E
53,Hiu Botol Karang,ikan_53.webp,E
54,Hiu Beurit,ikan_54.png,E
55,Hiu Botol Danten,ikan_55.png,E
57,Hiu Taji,ikan_57.webp,E
58,Hiu Mulut Raksasa,ikan_58.webp,E
59,Hiu Pogak,ikan_59.webp,E
60,Hiu Botol Monyong,ikan_60.webp,E
61,Hiu Kacang,ikan_61.png,E
62,Cucut Baster,ikan_62.webp,E
63,Hiu Merak Bulu,ikan_63.webp,E
64,Hiu Air,ikan_64.webp,E
65,Cucut Buaya,ikan_65.webp,E
66,Hiu Karil,ikan_66.webp,E
67,Hiu Lonjor,ikan_67.png,E
68,Cucut Martil,ikan_68.webp,E
69,Hiu Monas,ikan_69.webp,E
70,Hiu Pilus,ikan_70.webp,E
71,Hiu Karang,ikan_71.png,E
72,Hiu Bekeman,ikan_72.webp,E
73,Hiu Merak Bulu,ikan_73.png,E
74,Kejen,ikan_74.webp,K
75,Hiu Koboi,ikan_75.webp,E
76,Hiu Kodok,ikan_76.webp,E
77,Hiu Plen,ikan_77.png,E
78,Pari Burung,ikan_78.webp,E
79,Pari Kembang,ikan_79.webp,E
80,Pari Kampret,ikan_80.webp,E
81,Pari Kelapa,ikan_81.webp,E
82,Pari Kekeh,ikan_82.png,E
83,Pari Gergaji,ikan_83.webp,E
84,Pari Hidung Sekop,ikan_84.webp,E
85,Pari Kekeh,ikan_85.webp,E
86,Pari Kelelawar,ikan_86.webp,E
87,Pari Macan,ikan_87.webp,E
88,Pari Burung,ikan_88.png,E
89,Cucut Kebo,ikan_89.webp,E
90,Biji Nangka,ikan_90.webp,K
91,Biji Nangka,ikan_91.webp,K
92,Angoli Putih,ikan_92.webp,K
93,Kuniran,ikan_93.webp,K
94,Beloso,ikan_94.webp,K
95,Kurisi Perak,ikan_95.webp,K
96,Kurau,ikan_96.webp,K
97,Rejum,ikan_97.webp,K
98,Nomei,ikan_98.webp,K
99,Swanggi,ikan_99.webp,K
100,Serinding Tembakau,ikan_100.webp,K
101,Gerot-Gerot,ikan_101.webp,K
102,Gulamah,ikan_102.webp,K
103,Ikan Sebelah,ikan_103.webp,K
104,Ikan Sebelah Mata Kanan,ikan_104.webp,K
105,Ikan Sebelah Mata Kiri,ikan_105.webp,K
106,Golok-Golok,ikan_106.webp,K
107,Layur,ikan_107.webp,K
